sku	mfg	supplier	price	description
0531-UDL0020-0005-1W	Divolight	CDLOG	94.09	Spot Light LED 3" 5W Day White
0531-UDL0022-0005-1W	Divolight	CDLOG	94.09	Spot Light LED 3" 5W Day White
0531-UDL0024-0005-1W	Divolight	CDLOG	94.09	Spot Light LED 3" 5W Day White
0531-UDL0026-0005-1W	Divolight	CDLOG	94.09	Spot Light LED 3" 5W Day White
0531-UDL0028-0005-1W	Divolight	CDLOG	94.09	Spot Light LED 3" 5W Day White
0531-UDL0030-0005-1W	Divolight	CDLOG	80.51	Spot Light LED 3" 5W Day White
0527-ULT0002-0020-1W	Divolight	CDLOG	110.58	T8 Tube 1200mm 20W Frosted Cover Day White
0527-ULT0002-0020-1W-NI	Divolight	CDLOG	89.24	T8 Tube 1200mm 20W Frosted Cover Day White Ni
0527-ULT0003-0022-1W	Divolight	CDLOG	142.59	T8 Tube 1500mm 22W Frosted Cover Day White
0527-ULT0003-0022-1W-T	Divolight	CDLOG	142.59	T8 Tube 1500mm 22W Transparent Cover Day White
0527-ULT0001-0010-1W	Divolight	CDLOG	77.6	T8 Tube 600mm 10W Frosted Cover Day White
0527-ULT0001-0010-1W-T	Divolight	CDLOG	77.6	T8 Tube 600mm 10W Transparent Cover Day White
0531-UTL0001-0020-1W	Divolight	CDLOG	339.5	Track Lamp 3" 20W Matt White W
0531-UTL0003-0020-1W	Divolight	CDLOG	352.11	Track Lamp 3" 20W Silver W
0531-UTL0002-0020-1W	Divolight	CDLOG	352.11	Track Lamp 3" 20W Silver W
0531-UTL0005-0023-1W	Divolight	CDLOG	379.27	Track Lamp 3" 23W Silver W
0531-UTL0004-0025-1W	Divolight	CDLOG	379.27	Track Lamp 3" 25W Matt White W
0531-UTL0007-0033-1W	Divolight	CDLOG	494.7	Track Lamp 3" 33W Matt White W
0531-UTL0008-0020-1W	Divolight	CDLOG	381.21	Track Lamp 4" 20W Silver W
L0542-DFS0002-0018-2RGBW	Divolight	CDLOG	95.06	Led Strip R/G/B/W IP65 1M
0526-DFS0008-0004-1B-M5	Divolight	CDLOG	77.6	LED Strip Blue IP65 5m
0526-DFS0008-0004-1B-M1	Divolight	CDLOG	19.4	LED Strip Blue IP65 1m
WIRE-3528	Divolight	CDLOG	21.34	Power Cord For LED Strip
DVL0521-DFN001-0000	Divolight	CDLOG	33.95	Flexible Neon
0533-DGS0001-0005-1RGB	Divolight	CDLOG	155.2	LED String Light 50 RGB LED Balls 5M
0520-DGM0003-0065-1BW	Divolight	CDLOG	873	LED Curtain 2Mx3M
DVL0522-AOT0001-0009	Divolight	CDLOG	458.81	LED Outline Tube
DVL0522-AFL0001-0030	Divolight	CDLOG	446.2	Flood Light RGB IP6
DVL0522-APR0001-0009	Divolight	CDLOG	368.6	Round Projector IP65 RGB
DVL0522-APR0006-0216	Divolight	CDLOG	1067	Square LED Projector IP65
DVL0522-AWL0001-0003	Divolight	CDLOG	451.05	Wall Lamp
DVL0522-AWW00015-0030	Divolight	CDLOG	358.9	Wall Washer IP65
0516-DDR0051-0017-1W	Divolight	CDLOG	1451.12	Tree Bonsai Cherry Blossom 0.8M White
0516-DDR0059-0032-1V	Divolight	CDLOG	2111.69	Tree Bonsai Cherry Blossom 1.3M Violet
0516-DDR0060-0024-1R	Divolight	CDLOG	1257.12	Tree Bonsai Cherry Blossom 1.5M Red
0516-DDR0062-0011-1GR	Divolight	CDLOG	1172.73	Tree Bonsai Fruit 1.2M Green Red Apple
0516-DDR0058-0060-1P	Divolight	CDLOG	3711.22	Tree Bonsai Peach Blossom 1.7M Pink
0516-DDR0057-0013-1PG	Divolight	CDLOG	1063.12	Tree Bonsai Pearl 0.7M Purple Green
0516-DDR0034-0027-1V	Divolight	CDLOG	2180.56	Tree Cherry Blossom 1.45M Violet
0516-DDR0006-0142-1G	Divolight	CDLOG	5197.26	Tree Cherry Blossom 1.6M Green
0516-DDR0033-0048-1V	Divolight	CDLOG	3392.09	Tree Cherry Blossom 1.8M Violet
0516-DDR0007-0105-1V	Divolight	CDLOG	4540.57	Tree Cherry Blossom 2.3M Violet
0516-DDR0032-0085-1R	Divolight	CDLOG	5657.04	Tree Cherry Blossom 2.5M Red
0516-DDR0031-0130-1B	Divolight	CDLOG	7721.2	Tree Cherry Blossom 2.8M Blue
0516-DDR0029-0144-1P	Divolight	CDLOG	9743.65	Tree Cherry Blossom 3.3M Pink
0516-DDR0028-0168-1R	Divolight	CDLOG	11132.69	Tree Cherry Blossom 3.5M Red
0516-DDR0027-0246-1P	Divolight	CDLOG	16418.22	Tree Cherry Blossom 3.6M Pink
0516-DDR0030-0108-1Y	Divolight	CDLOG	7611.59	Tree Cherry Blossom 3M Yellow
0516-DDR0035-0178-1GV	Divolight	CDLOG	13701.25	Tree Cherry Blossom Leaves 3.6M Green Violet
0516-DDR0036-0198-1RG	Divolight	CDLOG	10234.47	Tree Cherry Fruit Leaves 3.1M Red Green Cherry
0516-DDM0101-0027-1Y	Divolight	CDLOG	2526.85	Tree Maple 1.45M Yellow
0516-DDM0100-0048-1Y	Divolight	CDLOG	3750.02	Tree Maple 1.8M Yellow
0516-DDR0014-0118-1Y	Divolight	CDLOG	5493.11	Tree Maple 3M Yellow
0516-DDR0002-0019-1Y	Divolight	CDLOG	824.5	Tree Mini Cherry Blossom 1.5M Yellow
0516-DDR0004-0038-1W5	Divolight	CDLOG	1627.66	Tree Mini Cherry Blossom 1.5M White
0516-DDR0003-0025-1V	Divolight	CDLOG	1417.17	Tree Mini Cherry Blossom 1.8M Violet
0516-DDR0001-0009-1R	Divolight	CDLOG	720.71	Tree Mini Cherry Blossom 1M Red
0516-DDR0005-0025-1W	Divolight	CDLOG	1701.38	Tree Mini Cherry Blossom 2.5M White
0516-DDR0038-0116-1P	Divolight	CDLOG	11452.79	Tree Peach Blossom 2.3M Pink
0516-DDR0037-0115-1MC	Divolight	CDLOG	6969.45	Tree Peony Flower 2.3M Multi Color
0516-DDR0041-0076-1RG	Divolight	CDLOG	6941.32	Tree Rose 2.3M Red Green
0516-DDR0042-0073-1CW	Divolight	CDLOG	3519.16	Tree Willow 1.8M Cold White
0516-DDR0042-0246-1G	Divolight	CDLOG	11511.96	Tree Willow 3M Green Willow
