sku	mfg	supplier	price	description
SM1425SL12M	Scythe	CDLOG	38.8	Slip Stream 140mm Case Fan
EC80025M12	EVERCOOL	CDLOG	12.61	Value Series 80mm Case Fan
0N604776	Shagon	CDLOG	23.28	80mm Double Ball Bearing 2800rpm Case Fan
FBL09A12M2CX	ASETEK	CDLOG	25.22	Vapochill 90mm PWM Case Fan (Panasonic OEM)
CC120R	ASETEK	CDLOG	11.64	120mm Case Fan
EC12025M12	EVERCOOL	CDLOG	13.58	Value Series 120mm Case Fan
EGF-12	EVERCOOL	CDLOG	17.46	Evergreen Series 120mm Case Fan
SFF-12	EVERCOOL	CDLOG	23.28	Spider Series 120mm Case Fan With Filter
EGF-14	EVERCOOL	CDLOG	23.28	Evergreen Series 140mm Case Fan
0N604774	Shagon	CDLOG	27.16	120mm Double Ball Bearing 1600rpm Case Fan
KMEX120BB	Kmex	CDLOG	31.04	120mm Double Ball Bearing 1200rpm Silent Case Fan
AD1212MS-A73GL	ASETEK	CDLOG	33.95	Vapochill 120mm Case Fan (Panasonic OEM)
0N604775	Shagon	CDLOG	37.83	140mm Double Ball Bearing 1600rpm Case Fan
CC120EN	Enermax	CDLOG	19.4	120mm Case Fan
CC120XCL	OEM	CDLOG	42.68	Xclio 256 Colour LED Quiet Fan 120mm with Smart Controller
AK-FC-08-AT	OEM	CDLOG	10.67	Asetek Fan Controller KIT
AFACO-080PC-GBA01	ARCTIC	CDLOG	32.01	Arctic F8 PWM CO 8cm Ball Bearing case fan
AFACO-120PC-GBA01	ARCTIC	CDLOG	44.62	Arctic F12 PWM CO 12cm Ball Bearing case fan
DCACO-V750001-GB	ARCTIC	CDLOG	376.36	Arctic Cooling Accelero Hybrid VGA Cooler
SCXFIXDWI	Creative	CDLOG	491.79	Creative XMOD WIRELESS MUSIC SYSTEM
SB886-7	Creative	CDLOG	790.55	Creative X-FI Titanium Fatality Champion edition
SCXFINB	Creative	CDLOG	461.72	Creative X-Fi NOTEBOOK Express-Card
SB1040b	Creative	CDLOG	206.61	Creative X-FI Xtreme Audio PCI-E (OPTICAL SPDIF)
SB0570VP	Creative	CDLOG	101.85	Creative Audigy SE SB0570VP VARP
M-480	ST-Lab	CDLOG	86.33	Sound Card 7.1 PCI-E
SB1042b	Creative	CDLOG	214.37	Creative X-FI Xtreme Audio PCI-E (OPTICAL SPDIF)
A-430	ST-Lab	CDLOG	99.91	STLAB Raid Card SATA2 e-SATA USB 2-Port PCI-E x1
A-480	ST-Lab	CDLOG	88.27	STLAB Raid Card SATA3 e-SATA 2-Port PCI-E
A-480LP	ST-Lab	CDLOG	88.27	STLAB Raid Card SATA3 e-SATA 2-Port PCI-E Low Profile
A-470	ST-Lab	CDLOG	137.74	STLAB Raid Card SATA3 PATA e-SATA 2-Port PCI-E
A-470LP	ST-Lab	CDLOG	150.35	STLAB Raid Card SATA3 PATA e-SATA 2-Port PCI-E Low Profile
RR1720LF	HighPoint	CDLOG	281.3	Highpoint RocketRaid 1720 SATA2 2-PORT RAID 0,1 PCI
RR620	HighPoint	CDLOG	296.82	Highpoint RocketRaid 620 SATA3 6G 2-PORT RAID 0,1 PCI-E x1
RR2720	HighPoint	CDLOG	1112.59	Highpoint RocketRaid 2720 SATA3 / SAS 6G 8-PORT RAID 0,1,5 PCI-E x8
RR3560LF	HighPoint	CDLOG	3667.57	Highpoint RocketRaid 3560 SATA2 24-PORT RAID 0,1,5,6,10 PCI-E x8
HPTBB-04LF	HighPoint	CDLOG	575.21	Highpoint Battery Backup Unit BBU-4
LSI-92604I	LSI	CDLOG	1577.22	LSI 9260-4I SGL 6GB SAS/SATA 4-PORT PCI-E
LSI-92608I	LSI	CDLOG	2673.32	LSI 9260-8I SGL 6GB SAS/SATA 8-PORT PCI-E
LSI-00138	LSI	CDLOG	1442.39	LSI LS-3801ER External 8-PORT SAS/SATA Interface HBA
LSI-IBBU07	LSI	CDLOG	750.78	LSI Battery Backup Unit For 8880EM2 9260-4I
ARC1261ML	Areca	CDLOG	3807.25	Areca ARC-1261ML SAS/SATA 16-PORT PCI-E
ARC1280ML	Areca	CDLOG	4903.35	Areca ARC-1280ML SAS/SATA 24-PORT PCI-E
ARC6120BA	Areca	CDLOG	487.91	Areca ARC-12XX/11XX Battery Backup module
CK-00170G	IPPON	CDLOG	51.41	IPPON PCI-E Card USB3.0 2-Ports With Molex Adaptor Nec Chipset
U-550	ST-Lab	CDLOG	86.33	STLAB PCI-E Card USB3.0 2-Ports (1x External + 1x Internal) Nec chipset
IPCS012	IPPON	CDLOG	116.4	IPPON PCI-E Card USB3.0 4-Ports + 3.5" Bay Kit
U-610LP	ST-Lab	CDLOG	64.99	STLAB PCI-E Card USB3.0 4-Ports 3x External + 1x Internal VIA chipset
U-780	ST-Lab	CDLOG	69.84	STLAB PCI-E Card USB3.0 4-Ports 2x External + 2x Internal 19pin connector, same as MB - Nec chipset
U-321	ST-Lab	CDLOG	104.76	STLAB PCI-E Card USB2.0 4+1 Ports
I-360	ST-Lab	CDLOG	88.27	STLAB PCI-E Card RS232 2 Ports Full + Low Profile
I-294	ST-Lab	CDLOG	95.06	STLAB PCI-E Card RS232 2 Ports + 1 LPT Port
I-461	ST-Lab	CDLOG	165.87	STLAB PCI-E Card RS232 4 Ports + 1 LPT Port
CP-130	ST-Lab	CDLOG	222.13	STLAB PCI-E Card RS232 4 Ports With Power for POS with Fan out cable (1 to 4) Low Profile Bracket
